id,description
95002,defendants charged with an offense of class C misdemeanor
95003,defendants charged with an offense of class B misdemeanor
95004,defendants charged with an offense of class A misdemeanor
95005,defendants charged with an offense of unclassified felony
95006,defendants charged with an offense of class E felony
95007,defendants charged with an offense of class D felony
95008,defendants charged with an offense of class C felony
95009,defendants charged with an offense of class B felony
95010,defendants charged with an offense of class A felony
95011,defendants charged with an offense of unknown severity
95012,defendants charged with an offense of infraction
95013,defendants charged with an offense of unclassified misdemeanor
95014,defendants charged with an offense of class C misdemeanor
95015,defendants charged with an offense of class B misdemeanor
95016,defendants charged with an offense of class A misdemeanor
95017,defendants charged with an offense of unclassified felony
95018,defendants charged with an offense of class E felony
95019,defendants charged with an offense of class D felony
95020,defendants charged with an offense of class C felony
95021,defendants charged with an offense of class B felony
95022,defendants charged with an offense of class A felony
95023,defendants charged with an offense of unknown severity
